Image,"Red Point (x, y)",Distance from Initial Point (mm)
Screenshot 2024-11-20 17-04-13.png,"(667, 397)",0.0
Screenshot 2024-11-20 17-06-01.png,"(669, 398)",0.223606797749979
Screenshot 2024-11-20 17-07-53.png,"(663, 401)",0.5656854249492381
Screenshot 2024-11-20 17-09-50.png,"(663, 398)",0.41231056256176607
Screenshot 2024-11-20 17-11-38.png,"(660, 403)",0.9219544457292888
Screenshot 2024-11-20 17-13-29.png,"(658, 403)",1.0816653826391969
Screenshot 2024-11-20 17-15-23.png,"(662, 400)",0.5830951894845301
Screenshot 2024-11-20 17-17-18.png,"(658, 405)",1.2041594578792296
Screenshot 2024-11-20 17-19-10.png,"(659, 401)",0.894427190999916
Screenshot 2024-11-20 17-21-01.png,"(659, 397)",0.8
Screenshot 2024-11-20 17-22-52.png,"(659, 396)",0.8062257748298549
Screenshot 2024-11-20 17-24-47.png,"(657, 397)",1.0
Screenshot 2024-11-20 17-26-39.png,"(657, 397)",1.0
Screenshot 2024-11-20 17-28-32.png,"(655, 397)",1.2000000000000002
Screenshot 2024-11-20 17-30-24.png,"(653, 396)",1.40356688476182
Screenshot 2024-11-20 17-32-29.png,"(651, 397)",1.6
Screenshot 2024-11-20 17-34-10.png,"(651, 400)",1.6278820596099708
Screenshot 2024-11-20 17-35-59.png,"(647, 400)",2.0223748416156684
Screenshot 2024-11-20 17-37-52.png,"(651, 398)",1.6031219541881399
Screenshot 2024-11-20 17-39-46.png,"(649, 393)",1.8439088914585775
Screenshot 2024-11-20 17-41-39.png,"(647, 397)",2.0
Screenshot 2024-11-20 17-43-30.png,"(645, 396)",2.202271554554524
Screenshot 2024-11-20 17-45-20.png,"(643, 397)",2.4000000000000004
Screenshot 2024-11-20 17-47-13.png,"(644, 396)",2.3021728866442674
Screenshot 2024-11-20 17-49-05.png,"(644, 397)",2.3000000000000003
Screenshot 2024-11-20 17-50-58.png,"(637, 399)",3.006659275674582
Screenshot 2024-11-20 17-52-51.png,"(636, 401)",3.125699921617557
Screenshot 2024-11-20 17-54-45.png,"(634, 405)",3.3955853692699294
Screenshot 2024-11-20 17-56-34.png,"(628, 407)",4.026164427839479
Screenshot 2024-11-20 17-58-29.png,"(623, 413)",4.681879964287851
Screenshot 2024-11-20 18-00-20.png,"(617, 416)",5.3488316481265334
final_annotated_image.png,"(643, 390)",2.5
